swe_start_m,46649.07502165972
airtemp_max_C,-4369.127812099828
airtemp_min_C,-17955.896419752302
airtemp_mean_C,8991.767653249324
precip_start_m,1539.5963519132247
precip_incr_m,1490.630017370456
year,6007.2456634787195
month,12900.084323676854
cfs,149917.8666323686
stn_1059_cochetopa_pass,16726.0009652015
stn_409_columbine_pass,36504.63502006823
stn_618_mcclure_pass,29463.259996667795
stn_622_mesa_lakes,60358.47390214735
stn_669_north_lost_trail,12533.727573053731
stn_675_overland_reservoir,50785.22141815484
stn_680_park_cone,-48847.21236863308
stn_682_park_reservoir,-19724.676244061153
stn_701_porphyry_creek,-31623.398819079895
stn_737_schofield_pass,-42360.45820373689
stn_762_slumgullion,-46089.98139847019
