swe_start_m,-59328.17929159812
airtemp_min_C,9663.78515510083
precip_start_m,106827.65404361598
swe_cumsum,110438.60044730995
stn_1059_cochetopa_pass,2798.1443442404016
stn_409_columbine_pass,2378.5950190972267
stn_618_mcclure_pass,6691.417922780774
stn_622_mesa_lakes,28288.100812952893
stn_669_north_lost_trail,-6019.860040538115
stn_675_overland_reservoir,21939.67991372231
stn_680_park_cone,-15795.391772510995
stn_682_park_reservoir,-8928.110923174638
stn_701_porphyry_creek,-1241.7436502331934
stn_737_schofield_pass,-15778.515064487612
stn_762_slumgullion,-10508.187340626706
